session_id,export_id,included,row_count,first_timestamp_s,last_timestamp_s,duration_s,median_dt_s,median_export_rate_hz,dt_iqr_s,dt_cv,duplicate_timestamp_count,nonmonotonic_timestamp_count,consecutive_identical_export_value_pair_count,consecutive_identical_export_value_pair_fraction,long_gap_threshold_s,long_gap_count,maximum_gap_s,gap_excluded_span_s,path_group,path_assignment_note,acc_range,acc_unique_4dp,acc_frozen,acc_frozen_value,acc_usable_for_excursion_rule,gyro_range,gyro_unique_4dp,gyro_frozen,gyro_usable,roll_range_deg,pitch_range_deg,yaw_range_deg,euler_frozen,euler_frozen_zero,euler_usable_for_window_rules,source_file
S014,1776847632327,true,1831,0,489.983,489.983,0.266,3.759398,0.008,0.044054,0,0,1,0.000546,1.33,0,0.382,0,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,14.8934,1502,false,,true,5.2866,899,false,true,0,0,0,true,true,false,imu_analysis_1776847632327.csv
S015,1776991265337,true,946,0,266.976,266.976,0.266,3.759398,0.01,0.573154,0,0,168,0.177778,1.33,9,1.973,17.385,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,0,1,true,9.7335,false,2.8797,284,false,true,0,0,0,true,true,false,imu_analysis_1776991265337.csv
S017,1776998386020,true,1159,0,327.605,327.605,0.268,3.731343,0.008,0.547177,0,0,69,0.059585,1.34,10,2.022,19.397,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,0,1,true,9.7335,false,3.4572,516,false,true,0,0,0,true,true,false,imu_analysis_1776998386020.csv
S018,1776999562464,true,1178,0,335.396,335.396,0.269,3.717472,0.009,0.565661,0,0,14,0.011895,1.345,11,1.988,21.366,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,0,1,true,9.7335,false,4.4019,738,false,true,0,0,0,true,true,false,imu_analysis_1776999562464.csv
S019,1777000526552,true,1136,0,328.189,328.189,0.274,3.649635,0.011,0.554294,0,0,46,0.040529,1.37,10,2.018,19.866,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,0,1,true,9.7335,false,6.3172,715,false,true,0,0,0,true,true,false,imu_analysis_1777000526552.csv
S020,1777002144701,true,1063,0,306.854,306.854,0.272,3.676471,0.012,0.571408,0,0,98,0.092279,1.36,10,2.089,19.797,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,0,1,true,9.7335,false,3.6003,512,false,true,0,0,0,true,true,false,imu_analysis_1777002144701.csv
S021,1777010515392,true,1163,0,327.034,327.034,0.267,3.745318,0.01,0.547216,0,0,43,0.037005,1.335,10,1.947,19.326,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,0.9655,451,false,,true,2.4114,313,false,true,0,0,0,true,true,false,imu_analysis_1777010515392.csv
S022,1777011363810,true,1114,0,315.999,315.999,0.267,3.745318,0.009,0.588926,0,0,16,0.014376,1.335,11,2.012,21.513,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,2.8275,807,false,,true,5.0525,734,false,true,0,0,0,true,true,false,imu_analysis_1777011363810.csv
S023,1777012565224,true,1134,0,319.411,319.411,0.267,3.745318,0.009,0.556435,0,0,12,0.010591,1.335,10,1.997,19.425,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,2.8349,798,false,,true,5.3931,657,false,true,0,0,0,true,true,false,imu_analysis_1777012565224.csv
S024,1777013387851,true,1146,0,325.699,325.699,0.268,3.731343,0.009,0.57938,0,0,25,0.021834,1.34,11,1.987,21.515,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,1.9316,774,false,,true,3.4172,655,false,true,0,0,0,true,true,false,imu_analysis_1777013387851.csv
S025,1777014295491,true,1156,0,326.689,326.689,0.267,3.745318,0.009,0.580455,0,0,13,0.011255,1.335,11,1.991,21.512,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,1.6829,720,false,,true,3.2657,550,false,true,0,0,0,true,true,false,imu_analysis_1777014295491.csv
S026,1777017440813,true,1080,0,306.314,306.314,0.266,3.759398,0.009,0.597399,0,0,1,0.000927,1.33,11,1.999,21.488,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,2.3533,884,false,,true,4.6253,769,false,true,0,0,0,true,true,false,imu_analysis_1777017440813.csv
S027,1777019914575,true,1837,0,515.62,515.62,0.265,3.773585,0.009,0.561294,0,0,153,0.083333,1.325,17,1.949,32.467,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,1.0066,534,false,,true,2.0284,416,false,true,0,0,0,true,true,false,imu_analysis_1777019914575.csv
S028,1777022706323,true,968,0,271.896,271.896,0.265,3.773585,0.009,0.561182,0,0,61,0.063082,1.325,9,1.946,17.167,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,0.7047,340,false,,true,5.7554,235,false,true,0,0,0,true,true,false,imu_analysis_1777022706323.csv
S029,1777023729187,true,1814,0,509.836,509.836,0.265,3.773585,0.009,0.564387,0,0,15,0.008274,1.325,17,1.934,32.483,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,1.0807,1000,false,,true,2.1263,821,false,true,0,0,0,true,true,false,imu_analysis_1777023729187.csv
S030,1777024675993,true,1887,0,531.484,531.484,0.265,3.773585,0.009,0.567936,0,0,18,0.009544,1.325,18,1.965,34.384,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,1.571,920,false,,true,3.1368,679,false,true,0,0,0,true,true,false,imu_analysis_1777024675993.csv
S031,1777025679136,true,1808,0,509.508,509.508,0.266,3.759398,0.009,0.569376,0,0,26,0.014388,1.33,17,1.955,32.769,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,1.3214,1036,false,,true,2.88,837,false,true,0,0,0,true,true,false,imu_analysis_1777025679136.csv
S032,1777026812944,true,1797,0,505.96,505.96,0.266,3.759398,0.009,0.566848,0,0,105,0.058463,1.33,17,1.97,32.526,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,1.2287,854,false,,true,3.6228,678,false,true,0,0,0,true,true,false,imu_analysis_1777026812944.csv
S033,1777027785844,true,1773,0,499.362,499.362,0.265,3.773585,0.009,0.56869,0,0,10,0.005643,1.325,17,1.976,32.437,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,2.5313,1100,false,,true,4.6292,896,false,true,0,0,0,true,true,false,imu_analysis_1777027785844.csv
S034,1777028938686,true,1729,0,485.979,485.979,0.265,3.773585,0.009,0.558843,0,0,77,0.04456,1.325,16,1.95,30.477,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,1.6788,760,false,,true,7.3894,626,false,true,0,0,0,true,true,false,imu_analysis_1777028938686.csv
